Path specified: /test/u0/
Net 		Stat_Prob	TC	TotSimPeriod
n243 	 0.058 		 53 	 5000  
n244 	 0.068 		 66 	 5000  
n245 	 0.064 		 58 	 5000  
n246 	 0.052 		 48 	 5000  
n247 	 0.056 		 50 	 5000  
n248 	 0.463 		 261 	 5000  
n249 	 0.046 		 46 	 5000  
n250 	 0.058 		 52 	 5000  
n251 	 0.084 		 78 	 5000  
n252 	 0.046 		 44 	 5000  
n253 	 0.474 		 244 	 5000  
n254 	 0.465 		 254 	 5000  
n255 	 0.52 		 247 	 5000  
n256 	 0.062 		 60 	 5000  
n257 	 0.068 		 62 	 5000  
n258 	 0.064 		 58 	 5000  
n259 	 0.056 		 56 	 5000  
n260 	 0.062 		 57 	 5000  
n261 	 0.062 		 54 	 5000  
n262 	 0.064 		 60 	 5000  
n263 	 0.061 		 57 	 5000  
n264 	 0.056 		 52 	 5000  
n265 	 0.044 		 40 	 5000  
n266 	 0.07 		 64 	 5000  
n267 	 0.052 		 50 	 5000  
n268 	 0.054 		 52 	 5000  
n269 	 0.054 		 52 	 5000  
n270 	 0.06 		 58 	 5000  
n271 	 0.058 		 56 	 5000  
n272 	 0.499 		 236 	 5000  
n273 	 0.475 		 226 	 5000  
n274 	 0.47 		 260 	 5000  
n275 	 0.454 		 4 	 5000  
n276 	 0.465 		 126 	 5000  
n277 	 0.0 		 0 	 5000  
n278 	 0.05 		 50 	 5000  
n279 	 0.056 		 54 	 5000  
n280 	 0.07 		 61 	 5000  
n281 	 0.066 		 64 	 5000  
n282 	 0.054 		 54 	 5000  
n283 	 0.843 		 88 	 5000  
n284 	 0.068 		 64 	 5000  
n285 	 0.045 		 39 	 5000  
n286 	 0.096 		 88 	 5000  
n287 	 0.068 		 68 	 5000  
n288 	 0.048 		 48 	 5000  
n289 	 0.06 		 58 	 5000  
n290 	 0.05 		 50 	 5000  
n291 	 0.458 		 243 	 5000  
n292 	 0.072 		 64 	 5000  
n293 	 0.036 		 36 	 5000  
n294 	 0.054 		 50 	 5000  
n295 	 0.054 		 50 	 5000  
n296 	 0.442 		 236 	 5000  
n297 	 0.518 		 237 	 5000  
